Source,Target,weight,distance
SDA-05X,SA-01,0,3
SDA-05X,AA-05,0,3
SDA-05X,CA-05,0,3
SDA-05X,FA-05,0,3
SDA-05X,IA-05,0,3
SDA-05X,KA-05,0,3
SDA-05X,MA-05,0,3
SDA-05X,SAV-05,0,3
SDA-05X,SER-05,0,3
SDA-06,SDA-01,2,1
SDA-06,SDA-02,2,1
SDA-06,SDA-03,2,1
SDA-06,SDA-04,2,1
SDA-06,SDA-05,2,1
SDA-06,SDA-06,3,0
SDA-06,SDA-07,2,1
SDA-06,SDA-08,2,1
SDA-06,SDC02,0,3
SDA-06,SDC03,0,3
SDA-06,SDC04,0,3
SDA-06,SDD02,0,3
SDA-06,SDD03,0,3
SDA-06,SDD04,0,3
SDA-06,SDG-02,1,2
SDA-06,SDG-03,1,2
SDA-06,SDG-04,1,2
SDA-06,SDX-05,1,2
SDA-06,SDX-06,2,1
SDA-06,SDX-7A,0,3
SDA-06,SDA-09,2,1
SDA-06,SDA-10,1,2
SDA-06,SDA-11,1,2
SDA-06,SDA-12,1,2
SDA-06,SDCK01,0,3
SDA-06,SDCP01,0,3
SDA-06,SA-PA,0,3
SDA-06,SA-PC,0,3
SDA-06,SA-WA,0,3
SDA-06,776-06,0,3
SDA-06,777-06,0,3
SDA-06,822-06,0,3
SDA-06,EA-02,0,3
SDA-06,SA-01,1,2
SDA-06,SC-01,0,3
SDA-06,AA-01,0,3
SDA-06,AA-02,0,3
SDA-06,AA-03,0,3
SDA-06,AA-04,0,3
SDA-06,AA-05,0,3
SDA-06,AA-06,1,2
SDA-06,AA-07,0,3
SDA-06,AA-08,0,3
SDA-06,AA-09,0,3
SDA-06,CA-01,0,3
SDA-06,CA-02,0,3
SDA-06,CA-03,0,3
SDA-06,CA-04,0,3
SDA-06,CA-05,0,3
SDA-06,CA-06,1,2
SDA-06,CA-07,0,3
SDA-06,CA-08,0,3
SDA-06,CA-09,0,3
SDA-06,FA-01,0,3
SDA-06,FA-02,0,3
SDA-06,FA-03,0,3
SDA-06,FA-04,0,3
SDA-06,FA-05,0,3
SDA-06,IA-01,0,3
SDA-06,IA-02,0,3
SDA-06,IA-03,0,3
SDA-06,IA-04,0,3
SDA-06,IA-05,0,3
SDA-06,IA-06,1,2
SDA-06,IA-07,0,3
SDA-06,IA-08,0,3
SDA-06,IA-09,0,3
SDA-06,IA-16,0,3
SDA-06,KA-01,0,3
SDA-06,KA-02,0,3
SDA-06,KA-03,0,3
SDA-06,KA-04,0,3
SDA-06,KA-05,0,3
SDA-06,KA-06,1,2
SDA-06,KA-07,0,3
SDA-06,KA-08,0,3
SDA-06,KA-09,0,3
SDA-06,MA-01,0,3
SDA-06,MA-02,0,3
SDA-06,MA-03,0,3
SDA-06,MA-04,0,3
SDA-06,MA-05,0,3
SDA-06,MA-06,1,2
SDA-06,MA-07,0,3
SDA-06,MA-08,0,3
SDA-06,MA-09,0,3
SDA-06,MA-16,0,3
SDA-06,MB-06,0,3
SDA-06,MAN-06,0,3
SDA-06,SAV-01,0,3
SDA-06,SAV-02,0,3
SDA-06,SAV-03,0,3
SDA-06,SAV-04,0,3
SDA-06,SAV-05,0,3
SDA-06,SAV-06,1,2
SDA-06,SAV-07,0,3
SDA-06,SER-01,0,3
SDA-06,SER-02,0,3
SDA-06,SER-03,0,3
SDA-06,SER-04,0,3
SDA-06,AA-16,0,3
SDA-06,SER-05,0,3
SDA-06,KA-16,0,3
SDA-06,SER-06,1,2
SDA-06,SER-07,0,3
SDA-07,SDA-01,2,1
SDA-07,SDA-02,2,1
SDA-07,SDA-03,2,1
SDA-07,SDA-04,2,1
SDA-07,SDA-05,2,1
SDA-07,SDA-06,2,1
SDA-07,SDA-07,3,0
SDA-07,SDA-08,2,1
SDA-07,SDC02,0,3
SDA-07,SDC03,0,3
SDA-07,SDC04,0,3
SDA-07,SDD02,0,3
SDA-07,SDD03,0,3
SDA-07,SDD04,0,3
SDA-07,SDG-02,1,2
SDA-07,SDG-03,1,2
SDA-07,SDG-04,1,2
SDA-07,SDX-05,1,2
SDA-07,SDX-06,1,2
SDA-07,SDX-7A,0,3
SDA-07,SDA-09,2,1
SDA-07,SDA-10,1,2
SDA-07,SDA-11,1,2
SDA-07,SDA-12,1,2
SDA-07,SDCK01,0,3
SDA-07,SDCP01,0,3
SDA-07,SA-PA,0,3
SDA-07,SA-PC,0,3
SDA-07,SA-WA,0,3
SDA-07,776-07,0,3
SDA-07,777-07,0,3
SDA-07,778-07,0,3
SDA-07,822-07,0,3
SDA-07,EA-02,0,3
SDA-07,SA-01,1,2
SDA-07,SC-01,0,3
SDA-07,AA-01,0,3
SDA-07,AA-02,0,3
SDA-07,AA-03,0,3
SDA-07,AA-04,0,3
SDA-07,AA-05,0,3
SDA-07,AA-06,0,3
SDA-07,AA-07,1,2
SDA-07,AA-08,0,3
SDA-07,AA-09,0,3
SDA-07,CA-01,0,3
SDA-07,CA-02,0,3
SDA-07,CA-03,0,3
SDA-07,CA-04,0,3
SDA-07,CA-05,0,3
SDA-07,CA-06,0,3
SDA-07,CA-07,1,2
SDA-07,CA-08,0,3
SDA-07,CA-09,0,3
SDA-07,FA-01,0,3
SDA-07,FA-02,0,3
SDA-07,FA-03,0,3
SDA-07,FA-04,0,3
SDA-07,FA-05,0,3
SDA-07,IA-01,0,3
SDA-07,IA-02,0,3
SDA-07,IA-03,0,3
SDA-07,IA-04,0,3
SDA-07,IA-05,0,3
SDA-07,IA-06,0,3
SDA-07,IA-07,1,2
SDA-07,IA-08,0,3
SDA-07,IA-09,0,3
SDA-07,IA-17,0,3
SDA-07,KA-01,0,3
SDA-07,KA-02,0,3
SDA-07,KA-03,0,3
SDA-07,KA-04,0,3
SDA-07,KA-05,0,3
SDA-07,KA-06,0,3
SDA-07,KA-07,1,2
SDA-07,KA-08,0,3
SDA-07,KA-09,0,3
SDA-07,MA-01,0,3
SDA-07,MA-02,0,3
SDA-07,MA-03,0,3
SDA-07,MA-04,0,3
SDA-07,MA-05,0,3
SDA-07,MA-06,0,3
SDA-07,MA-07,1,2
SDA-07,MA-08,0,3
SDA-07,MA-09,0,3
SDA-07,MA-17,0,3
SDA-07,MB-07,0,3
SDA-07,MAN-07,0,3
SDA-07,SAV-01,0,3
SDA-07,SAV-02,0,3
SDA-07,SAV-03,0,3
SDA-07,SAV-04,0,3
SDA-07,SAV-05,0,3
SDA-07,SAV-06,0,3
SDA-07,SAV-07,1,2
SDA-07,SER-01,0,3
SDA-07,SER-02,0,3
SDA-07,SER-03,0,3
SDA-07,SER-04,0,3
SDA-07,AA-17,0,3
SDA-07,KA-17,0,3
SDA-07,SER-05,0,3
SDA-07,SER-06,0,3
SDA-07,SER-07,1,2
DC102,SDA-02,0,3
DC102,SDC02,1,2
DC102,SDC03,0,3
DC102,SDC04,0,3
DC102,SDD02,0,3
DC102,SDG-02,0,3
DC102,SDCK01,0,3
DC102,SDCP01,0,3
DC102,821-02,0,3
DC102,DC102,3,0
DC102,DC103,2,1
DC102,DC111,1,2
DC102,DC112,2,1
DC102,DC113,1,2
DC102,DC114,1,2
DC102,DC121,1,2
DC102,DC122,2,1
DC102,DC123,1,2
DC102,DC124,1,2
DC102,DC131,1,2
DC102,DC132,2,1
DC102,DC133,1,2
DC102,DC134,1,2
DC102,DC141,1,2
DC102,DC142,2,1
DC102,DC143,1,2
DC102,DC144,1,2
DC102,DC211,0,3
DC102,DC311,0,3
DC102,DC312,1,2
DC102,DC313,0,3
DC102,DC314,0,3
DC102,DC317,0,3
DC102,DC321,0,3
DC102,DC322,1,2
DC102,DC323,0,3
DC102,DC324,0,3
DC102,DC801,1,2
DC102,EA-02,0,3
DC102,SC-01,0,3
DC102,AA-02,0,3
DC102,CA-02,0,3
DC102,FA-02,0,3
DC102,IA-02,0,3
DC102,KA-02,0,3
DC102,MA-02,0,3
DC102,MB-02,0,3
DC103,SDA-03,0,3
DC103,SDC02,0,3
DC103,SDC03,1,2
DC103,SDC04,0,3
DC103,SDD03,0,3
DC103,SDG-03,0,3
DC103,SDCK01,0,3
DC103,SDCP01,0,3
DC103,DC102,2,1
DC103,DC103,3,0
DC103,DC111,1,2
DC103,DC112,1,2
DC103,DC113,2,1
DC103,DC114,1,2
DC103,DC121,1,2
DC103,DC122,1,2
DC103,DC123,2,1
DC103,DC124,1,2
DC103,DC131,1,2
DC103,DC132,1,2
DC103,DC133,2,1
DC103,DC134,1,2
DC103,DC141,1,2
DC103,DC142,1,2
DC103,DC143,2,1
DC103,DC144,1,2
DC103,DC211,0,3
DC103,DC311,0,3
DC103,DC312,0,3
DC103,DC313,1,2
DC103,DC314,0,3
DC103,DC317,0,3
DC103,DC321,0,3
DC103,DC322,0,3
DC103,DC323,1,2
DC103,DC324,0,3
DC103,DC801,1,2
DC103,SC-01,0,3
DC103,AA-03,0,3
DC103,CA-03,0,3
DC103,FA-03,0,3
DC103,IA-03,0,3
DC103,KA-03,0,3
DC103,MA-03,0,3
DC103,MB-03,0,3
DC321,SDC02,0,3
DC321,SDCK01,0,3
DC321,SDCP01,0,3
DC321,DC102,0,3
DC321,DC103,0,3
